#ms skt. fehler
50 81.3333333333 2.2
100 162.0 1.52420471066
150 241.666666667 1.16413057687
200 322.333333333 0.88
250 403.333333333 1.5864425612
300 481.333333333 1.16413057687
350 561.666666667 1.16413057687
400 641.333333333 0.88
450 720.666666667 0.44
500 801.333333333 0.88
